gene	BeWo.KD	Plac1.CT27	Plac1.CT29
ENSG00000003137	1	0	0
ENSG00000005448	1	0	0
ENSG00000010319	1	0	0
ENSG00000014914	1	0	0
ENSG00000018280	1	0	0
ENSG00000028137	1	0	0
ENSG00000030419	1	0	0
ENSG00000042493	1	0	0
ENSG00000049239	1	0	0
ENSG00000058668	1	0	0
ENSG00000059728	1	0	0
ENSG00000066185	1	0	0
ENSG00000066248	1	0	0
ENSG00000067606	1	0	0
ENSG00000069424	1	0	0
ENSG00000070759	1	0	0
ENSG00000071575	1	0	0
ENSG00000072195	1	0	0
ENSG00000075426	1	0	0
ENSG00000076258	1	0	0
ENSG00000076864	1	0	0
ENSG00000079263	1	0	0
ENSG00000082438	1	0	0
ENSG00000084764	1	0	0
ENSG00000085982	1	0	0
ENSG00000086619	1	0	0
ENSG00000088543	1	0	0
ENSG00000088726	1	0	0
ENSG00000090097	1	0	0
ENSG00000091428	1	0	0
ENSG00000114023	1	0	0
ENSG00000114268	1	0	0
ENSG00000114737	1	0	0
ENSG00000115226	1	0	0
ENSG00000115267	1	0	0
ENSG00000115355	1	0	0
ENSG00000115474	1	0	0
ENSG00000115548	1	0	0
ENSG00000115604	1	0	0
ENSG00000115919	1	0	0
ENSG00000115935	1	0	0
ENSG00000115966	1	0	1
ENSG00000116285	1	0	0
ENSG00000116574	1	0	0
ENSG00000116661	1	0	0
ENSG00000116668	1	0	0
ENSG00000116701	1	1	0
ENSG00000116761	1	0	0
ENSG00000117020	1	0	0
ENSG00000117115	1	0	0
ENSG00000117139	1	0	0
ENSG00000117151	1	0	0
ENSG00000117228	1	0	1
ENSG00000117266	1	0	0
ENSG00000117298	1	0	0
ENSG00000117394	1	0	0
ENSG00000117425	1	0	0
ENSG00000117472	1	0	1
ENSG00000117477	1	0	0
ENSG00000118263	1	0	0
ENSG00000118298	1	0	0
ENSG00000122477	1	0	0
ENSG00000123685	1	0	0
ENSG00000124374	1	0	0
ENSG00000125629	1	0	0
ENSG00000126709	1	1	1
ENSG00000127124	1	0	0
ENSG00000128683	1	0	0
ENSG00000130695	1	0	0
ENSG00000131370	1	0	0
ENSG00000131791	1	0	0
ENSG00000132329	1	0	0
ENSG00000132855	1	0	0
ENSG00000132879	1	0	0
ENSG00000133069	1	0	0
ENSG00000134107	1	0	0
ENSG00000134109	1	0	0
ENSG00000134193	1	0	0
ENSG00000134240	1	0	0
ENSG00000134258	1	0	0
ENSG00000134317	1	0	0
ENSG00000134668	1	0	0
ENSG00000135625	1	0	0
ENSG00000135744	1	0	0
ENSG00000135766	1	0	0
ENSG00000135976	1	0	0
ENSG00000136689	1	0	0
ENSG00000142609	1	0	0
ENSG00000142623	1	1	0
ENSG00000142669	1	0	0
ENSG00000142910	1	0	0
ENSG00000142961	1	0	0
ENSG00000142973	1	0	0
